,Country,Regional Indicator,Population density (people per sq. km of land area),GDP per capita (current US$),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Forest area (% of land area),Consumer price index (2010 = 100),Life expectancy at birth (years),Mean years of schooling (years),Gender Development Index (GDI),"Unemployment, total (% of labour force)","Carbon dioxide emissions, production emissions per capita (tonnes)",Healthy life expectancy (HALE) at birth (years),Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),Age-standardized suicide rates (per 100 000 population),"Person held per 100,000 population",Happiness Index
69,Moldova,Commonwealth of Independent States,94.30735271834652,4077.2484379941798,16.2510327081515,11.752411857037666,159.52195258493433,71.80833333333334,11.611333333333334,1.0133333333333334,4.183,1.224,64.53884,6.805,12.1606,175.46190419566665,5.607500076
70,Tajikistan,Commonwealth of Independent States,65.5718231380743,864.1452185534309,46.1521853683313,3.0415255662031337,,70.87533333333333,10.671,0.823,11.14133333333333,0.5914999999999999,62.00672,7.235,5.3,,5.555699825
71,Montenegro,Central and Eastern Europe,46.260916976456,8513.543447661554,20.7818135501738,61.4869888475836,115.473621236575,76.77233333333334,11.521666666666667,0.9653333333333333,15.376333333333335,3.215,66.97417,8.42,16.315166666666666,177.025109057,5.54610014
72,Russia,Commonwealth of Independent States,8.820994874681999,11168.445728763769,16.1602238064949,49.7843360788722,173.98044154477034,72.36833333333333,12.121333333333334,1.008333333333333,4.881,11.527999999999999,64.21381,5.33,23.136,386.46139975233336,5.546000004
73,Kyrgyzstan,Commonwealth of Independent States,32.98088286409453,1308.3139709968766,22.737768057102,6.667890545707333,153.73330003409401,71.32133333333333,10.953333333333333,0.9583333333333334,6.3933333333333335,1.5635,65.77573,6.36,8.81,173.9543936105,5.541500092
74,Belarus,Commonwealth of Independent States,46.50222684828703,6327.81699053901,18.7655799063811,43.05082638717756,482.91827543843965,74.57333333333334,12.292,1.0096666666666667,5.001666666666666,6.779999999999999,65.97392,5.699999999999999,17.63286666666667,353.9796113555,5.539899826
75,North Cyprus,Western Europe,,,,,,,,,,,,,,,5.53550005
76,Greece,Western Europe,83.29232738557023,19139.097021754063,16.2182663806558,30.269976726144296,101.56713295183533,82.07100000000001,10.543999999999999,0.9636666666666667,19.339333333333332,7.051500000000001,70.87168,7.845,3.686666666666666,99.98510942200001,5.514999866
77,Hong Kong S.A.R. of China,East Asia,7095.269841269844,47687.670582974795,,,131.10685589847535,84.68,12.244666666666667,0.9686666666666666,3.207333333333333,5.8815,,,,107.76244294466666,5.510399818
78,Croatia,Central and Eastern Europe,72.31917888908522,14722.872197583865,17.9017722884016,34.1775837898333,108.71808637556667,78.343,11.419666666666666,0.9896666666666668,8.858333333333333,4.475,68.62334,6.805,10.991933333333334,79.73367588233333,5.504700184
