Country,Regional Indicator,Population density (people per sq. km of land area),GDP per capita (current US$),"Unemployment, total (% of labour force)",Consumer price index (2010 = 100),Mean years of schooling (years),Life expectancy at birth (years),Healthy life expectancy (HALE) at birth (years),Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),Age-standardized suicide rates (per 100 000 population),Gender Development Index (GDI),"Person held per 100,000 population","Carbon dioxide emissions, production emissions per capita (tonnes)","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Forest area (% of land area),Happiness Index
Montenegro,Central and Eastern Europe,46.260916976456,8513.543447661554,15.376333333333335,115.473621236575,11.521666666666668,76.77233333333334,66.97417,8.42,16.315166666666666,0.9653333333333332,177.025109057,3.215,20.7818135501738,61.486988847583596,5.54610014
Morocco,Middle East and North Africa,80.72455896631563,3164.28231636706,9.094666666666667,110.18955830451166,5.558666666666667,76.45033333333333,63.686080000000004,5.275,7.286666666666666,0.8329999999999999,234.2925644323333,1.815,32.5935414574286,12.820427216371634,5.094799995
Mozambique,Sub-Saharan Africa,37.51835796095187,490.45821945825793,3.262,176.80039100714268,3.5056666666666665,60.10733333333334,50.357409999999994,8.155000000000001,23.156966666666666,0.9066666666666668,63.475142771,0.2805,21.298695459134102,47.304050628618896,4.623600006
Myanmar,Southeast Asia,82.28080546577003,1224.13324260195,1.5406666666666666,155.77768226421531,4.993666666666666,66.85166666666667,60.85162,4.94,3.0066666666666664,0.9543333333333331,160.26774201400002,0.483,35.5574529190767,44.61359702201321,4.308000088
Namibia,Sub-Saharan Africa,2.97402170964464,5321.731147493771,20.574666666666673,152.0998837716223,6.94,63.368,56.05523,8.12,14.158366666666666,1.008,118.63653055741973,1.7515,25.358765398457304,8.236368715762369,4.571100235
Nepal,South Asia,196.11000813858868,1140.6455211741302,1.3843333333333334,179.7673872379773,4.856000000000001,70.47566666666667,61.34199,5.665,9.696666666666667,0.9253333333333332,71.403038978,0.3325,99.7343737198505,41.590722009068706,5.137199879
Netherlands,Western Europe,511.9076725076727,51349.964961925965,3.955,113.294573290752,12.345999999999998,82.14233333333333,71.43514,10.015,9.323333333333332,0.9666666666666668,66.04461840766669,9.5685,12.034408072923698,10.9187209187209,7.448900223
New Zealand,North America and ANZ,18.601015279834897,43018.060513526325,4.356333333333333,112.43753671471,12.712666666666667,82.14566666666667,70.23531,9.115,11.032333333333336,0.9640000000000001,209.59882215566662,7.4955,5.956001129415621,37.435620877799295,7.2996001239999995
Nicaragua,Latin America and Caribbean,53.725134341587726,2033.4771988217199,5.112333333333333,154.77757286654034,6.834666666666667,74.27766666666669,65.46066,8.440000000000001,4.81,1.012,323.532496007,0.8614999999999999,17.614180448958102,29.9778128635533,6.13710022
Niger,Sub-Saharan Africa,17.7247804005158,547.5316278282727,0.4776666666666666,110.10756219564934,2.0196666666666667,62.01433333333333,55.52364,7.495,10.1409,0.7256666666666666,40.330311265,0.10300000000000001,94.05381767742821,0.8719823162548354,4.909599781
